file,label
vid_00230_00001.mp4,0
vid_00230_00002.mp4,1
vid_00231_00001.mp4,0
vid_00232_00001.mp4,0
vid_00232_00002.mp4,0
vid_00233_00001.mp4,0
vid_00233_00002.mp4,0
vid_00233_00003.mp4,1
vid_00233_00004.mp4,1
vid_00233_00005.mp4,0
vid_00233_00006.mp4,0
vid_00233_00007.mp4,0
vid_00233_00008.mp4,1
vid_00233_00009.mp4,1
vid_00233_00010.mp4,0
vid_00233_00011.mp4,0
vid_00233_00012.mp4,1
vid_00233_00013.mp4,1
vid_00233_00014.mp4,1
vid_00233_00015.mp4,0
vid_00233_00016.mp4,0
vid_00233_00017.mp4,1
vid_00233_00018.mp4,1
vid_00233_00019.mp4,0
vid_00233_00020.mp4,0
vid_00233_00021.mp4,1
vid_00233_00022.mp4,1
vid_00233_00023.mp4,1
vid_00233_00024.mp4,0
vid_00233_00025.mp4,0
vid_00233_00026.mp4,1
vid_00233_00027.mp4,1
vid_00233_00028.mp4,1
vid_00233_00029.mp4,0
vid_00233_00030.mp4,0
vid_00233_00031.mp4,1
vid_00234_00001.mp4,1
vid_00234_00002.mp4,1
vid_00234_00003.mp4,0
vid_00234_00004.mp4,1
vid_00234_00005.mp4,1
vid_00234_00006.mp4,1
vid_00234_00007.mp4,1
vid_00234_00008.mp4,1
vid_00234_00009.mp4,1
vid_00234_00010.mp4,1
vid_00234_00011.mp4,1
vid_00234_00012.mp4,1
vid_00235_00001.MOV,1
vid_00235_00002.MOV,1
vid_00235_00003.MOV,0
vid_00235_00004.MOV,1
vid_00235_00005.MOV,1
vid_00236_00001.mov,0
vid_00236_00002.mov,1
vid_00236_00003.mov,1
vid_00236_00004.mov,0
vid_00236_00005.mov,0
vid_00236_00006.mov,1
vid_00236_00007.mov,1
vid_00236_00008.mov,1
vid_00236_00009.mov,0
vid_00236_00010.mov,0
vid_00236_00011.mov,1
vid_00236_00012.mov,1
vid_00237_00001.MOV,1
vid_00237_00002.MOV,1
vid_00238_00001.MOV,1
vid_00239_00001.MOV,0
vid_00240_00001.MOV,0
vid_00240_00002.MOV,1
vid_00240_00003.MOV,1
vid_00241_00001.MOV,1
vid_00242_00001.mp4,1
vid_00242_00002.mp4,1
vid_00242_00003.mp4,1
vid_00242_00004.mp4,1
vid_00243_00001.mp4,1
vid_00243_00002.mp4,1
vid_00243_00003.mp4,1
vid_00243_00004.mp4,1
vid_00244_00001.mp4,0
vid_00244_00002.mp4,1
vid_00244_00003.mp4,1
vid_00244_00004.mp4,1
vid_00244_00005.mp4,0
vid_00244_00006.mp4,0
vid_00244_00007.mp4,1
vid_00244_00008.mp4,1
vid_00244_00009.mp4,1
vid_00244_00010.mp4,0
vid_00244_00011.mp4,0
vid_00244_00012.mp4,0
vid_00244_00013.mp4,0
vid_00244_00014.mp4,1
vid_00244_00015.mp4,1
vid_00244_00016.mp4,1
vid_00244_00017.mp4,0
vid_00244_00018.mp4,0
vid_00244_00019.mp4,1
vid_00244_00020.mp4,1
vid_00244_00021.mp4,0
vid_00244_00022.mp4,0
vid_00244_00023.mp4,1
vid_00244_00024.mp4,1
vid_00244_00025.mp4,1
vid_00245_00001.mp4,1
vid_00245_00002.mp4,1
vid_00246_00001.mov,0
vid_00246_00002.mov,1
vid_00246_00003.mov,1
vid_00246_00004.mov,0
vid_00246_00005.mov,0
vid_00246_00006.mov,0
vid_00246_00007.mov,0
vid_00246_00008.mov,1
vid_00246_00009.mov,1
vid_00246_00010.mov,1
vid_00246_00011.mov,0
